% Model,20260626_TI_field_CompactY_X50_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 8 2026, 17:00"
% Dimension,2
% Nodes,491
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
-22.155569875927775,-4.111842094243054,-0.033473894987329444+8.690437263291359E-8i,0.017466361528122486-4.534587897094234E-8i
-21.9288216517546,-4.471183362853743,-0.0401621139907876+1.0426821621154172E-7i,0.011051674610804104-2.869217487115619E-8i
-21.73785380447134,-4.010119121164328,-0.041689084471965954+1.0823251172439281E-7i,0.024014969714571177-6.234726725509187E-8i
-22.428637078387737,-4.432852725790833,-0.030247136691282716+7.852711610323379E-8i,0.010005683963910402-2.5976591250479653E-8i
-22,-5,-0.039528716897856975+1.0262380115286459E-7i,9.637145969487726E-5-2.5019799003105336E-10i
-21.41421356237378,-3.5857864376275925,-0.04073931373030018+1.0576673263053263E-7i,0.04145477046215329-1.0762418956679078E-7i
-21.89660663515188,-3.4545344405258955,-0.029497618942798995+7.658123051885849E-8i,0.03261219724976675-8.466724721593012E-8i
-21.35085379717523,-3.057651844580577,-0.025966058092826382+6.741265063897079E-8i,0.04996863317681568-1.2972773915913916E-7i
-20.9898808788387,-3.262146195530385,-0.03461461524446069+8.986589170125034E-8i,0.06203178297423795-1.6104588918378682E-7i
-18.074026741738574,-3.640978358369393,0.11880723540025095-3.0844537991827875E-7i,0.0746447037223216-1.9379134545932805E-7i
-18.585786437626624,-3.5857864376271857,0.10965633194964286-2.8468795570159457E-7i,0.10818377013229814-2.808649150620643E-7i
-18.262146195528977,-4.010119121163766,0.14638241675488556-3.800356097607032E-7i,0.08235019597745974-2.1379621703207852E-7i
-19.070622340909395,-2.8459965135720173,0.05291589221364514-1.3737936433386126E-7i,0.09799894514667928-2.5442324085336714E-7i
-19.471183362850766,-3.071178348246222,0.031881210304353064-8.27694709960519E-8i,0.11520848367406444-2.9910236019668815E-7i
-19.01011912116235,-3.2621461955297866,0.06854340961102035-1.7795126658018312E-7i,0.11899555188671587-3.089342840663667E-7i
-20.528816637146925,-3.071178348245588,-0.021674418269698997+5.627076629790047E-8i,0.08228753643062554-2.1363354135275997E-7i
-20.733835178957595,-2.7807446817951806,-0.01449452715463644+3.763045171353426E-8i,0.06886663634881358-1.7879042249187182E-7i
-20,-3,5.102659925608927E-4-1.3247441319947635E-9i,0.10193370855303392-2.6463860854265954E-7i
-19.726816172031413,-2.548525485417201,0.021546106759329952-5.593764607645429E-8i,0.08643759293747237-2.244078494293986E-7i
-20.250823813687692,-2.601688060449874,0.0018671367228728641-4.847429484464661E-9i,0.07919002818693921-2.0559184167170315E-7i
-17.81620556741186,-4.161371208971704,0.14188746084328702-3.683658795527707E-7i,0.049417931039582655-1.2829801537699843E-7i
-18.071178348245617,-4.471183362852978,0.17024734224445814-4.419933346799952E-7i,0.04569406340581639-1.1863017180506298E-7i
-17.7255464625455,-4.701336845630525,0.15732504103099543-4.0844466995619063E-7i,0.01912265012437242-4.964590803568868E-8i
-18.000000000000004,-5,0.17971697674778464-4.665782431851363E-7i,0.0010494974281300973-2.7246878681400247E-9i
-18.439369425712293,-3.094942433532163,0.08550394409070838-2.2198392573248887E-7i,0.08658077485818334-2.2477957596422692E-7i
-22.145170418662406,-3.7739608028853544,-0.030298631751719495+7.866080672762368E-8i,0.023662563073940344-6.143235496214375E-8i
-22.715824264065965,-5,-0.02649505603489007+6.878602634851482E-8i,1.9278358464662007E-4-5.00501554545114E-10i
-22.537366426362794,-3.8710944585210108,-0.0251612430082467+6.532320302503204E-8i,0.018456233301839986-4.7915767701094166E-8i
-22.297592800421235,-3.4514504460345776,-0.02401907181193073+6.235791705242305E-8i,0.026551375831428616-6.893224287298969E-8i
-21.713762252622015,-3.104303760105964,-0.02463471551107653+6.395624104368236E-8i,0.040345260909177894-1.0474369921250134E-7i
-23.68350743471924,-5,-0.013466915214210817+3.4962582586657E-8i,-6.668193152344533E-5+1.731185279598513E-10i
-23.2592686033559,-4.154526298999555,-0.017227356968169547+4.4725379284628227E-8i,0.010865140704252247-2.8207898627549288E-8i
-24.16467272076548,-4.1597667763299855,-0.0076288412259628065+1.980587143831193E-8i,0.00852540624750664-2.213351872141754E-8i
-25,-5,-6.46765830394358E-5+1.6791227538531727E-10i,-4.061960875145765E-5+1.0545595655112706E-10i
-25,-3.6120653956959394,-2.352500537713409E-4+6.107522994432425E-10i,0.012549072719554891-3.257969507973917E-8i
-19.3031825724208,-2.5364453744413,0.038787594427970466-1.0069971125197482E-7i,0.08661949787490426-2.2488010801991918E-7i
-18.745284546664926,-2.8560422086947552,0.06654650888782383-1.7276694594391484E-7i,0.09003120208428958-2.3373751807149135E-7i
-22.87043329368703,-3.2145089878571462,-0.015656797397386384+4.064791849813618E-8i,0.023195688751585564-6.022026356683048E-8i
-22.2533141107733,-3.0335887301092885,-0.01894326259357885+4.9180185094658715E-8i,0.03146524334276999-8.168954444891976E-8i
-21.93561289349715,-2.625111371601923,-0.014296168531302365+3.711547633575898E-8i,0.03851708657460564-9.999742323626227E-8i
-21.539172991856685,-2.627096905022485,-0.014974683881097845+3.887702666674121E-8i,0.04610139034230002-1.1968766726190562E-7i
-21.09723930018494,-2.7089259246164556,-0.01571659916445044+4.080317485691398E-8i,0.05702028628072131-1.480351243394797E-7i
-23.787649862150147,-2.9234473404969923,-0.007370140934901544+1.9134238020595723E-8i,0.019689716894793183-5.111811740791058E-8i
-25.000000000000004,-2.2177264187142565,4.34399928714857E-5-1.1277819115478022E-10i,0.020583680175033797-5.3439010093261196E-8i
-18.080144746579073,-3.2848143567486683,0.09980164863917788-2.5910338985057815E-7i,0.07372704026462451-1.9140892276519522E-7i
-17.757539892150536,-3.8453651986531354,0.12471526861368136-3.237837180501845E-7i,0.05543720123307446-1.4392514511710827E-7i
-17.671548673274494,-3.4609845052816044,0.10769899551897928-2.796063512273048E-7i,0.05674840294774262-1.473292653263292E-7i
-18.82410621309795,-2.503348011091357,0.05600551842613292-1.454006008158607E-7i,0.07984172712015532-2.0728377166545098E-7i
-19.424596771899722,-2.0864530324753128,0.03351015630486587-8.69985136658973E-8i,0.07174922416762564-1.8627414931986085E-7i
-18.98305459091932,-2.105729760186386,0.046143063818615694-1.1979585925197185E-7i,0.07018124567876531-1.8220338949559825E-7i
-18.3826361684985,-2.5733676540099655,0.06960749104247155-1.8071381719659535E-7i,0.07205117960973668-1.8705808104545736E-7i
-22.627159544991738,-2.213130827479235,-0.007631062756882162+1.981163894015231E-8i,0.03079436404327997-7.994781870542268E-8i
-21.758748852497163,-2.155968963472578,-0.007221985184744017+1.8749598511962195E-8i,0.04140144100068368-1.0748573650081875E-7i
-20.776223339249995,-2.2745485415518756,-0.0017007765537099262+4.415527964257728E-9i,0.06003934770500987-1.558731616852363E-7i
-21.223079376179157,-2.049538833951429,-0.002423478506455153+6.291794823163805E-9i,0.04927947203202029-1.2793855039114295E-7i
-19.911110511329486,-1.9953880968904956,0.020606670325953907-5.3498696742903756E-8i,0.0672508480058635-1.7459553951501023E-7i
-20.38649372454009,-1.9493713577016725,0.01050442130335565-2.7271404883888628E-8i,0.06096778737455353-1.5828356140236756E-7i
-19.537614717034852,-1.717555707057064,0.030678987212713994-7.964827928581953E-8i,0.062274365242825994-1.6167567725805766E-7i
-23.8623654144201,-1.495940746728017,-0.0013349374947979238+3.4657426491206054E-9i,0.024282947236447527-6.30429860660385E-8i
-25,-0.7950466473563536,3.649322519949649E-5-9.474310780480853E-11i,0.022694992903004252-5.892036528437725E-8i
-22.760311487827845,-0.8907338222191438,0.0022318919395994397-5.7944009464259735E-9i,0.028870839091699924-7.495399503405158E-8i
-17.52218757061383,-4.427565905474366,0.13873123776974258-3.601717454013853E-7i,0.02770709900157346-7.193271225598254E-8i
-17.468560161024634,-4.052080149608139,0.1261105977894556-3.274062485828166E-7i,0.03936757859107147-1.0220545654546388E-7i
-17.321201822302235,-5,0.1372340811569494-3.562848521606345E-7i,1.7666393964327343E-4-4.5865199874615227E-10i
-17.927575677171376,-2.7183568611514057,0.08130511670312986-2.1108299950176348E-7i,0.06230349365829276-1.617512999686253E-7i
-17.633825151766672,-3.0567011381354496,0.0933269690674153-2.422939338134117E-7i,0.056029059471372246-1.454617176882478E-7i
-17.252752013924677,-3.7466578485242064,0.11197402890078956-2.907051222000965E-7i,0.0391630619736899-1.0167449388533913E-7i
-17.26084434772128,-3.239829415394421,0.09827513595835366-2.551402828714612E-7i,0.04522975502527844-1.1742474206546086E-7i
-18.46003494180212,-2.1023239566516536,0.058614384656292755-1.521736961817128E-7i,0.06347847975461812-1.6480177944203035E-7i
-19.158358021538746,-1.682258627463868,0.039254185575430096-1.0191106747333208E-7i,0.060884339199742864-1.580669146308429E-7i
-18.72804902475657,-1.7235495589948246,0.048583881180683575-1.2613266892538878E-7i,0.059050627037677536-1.5330626143846375E-7i
-17.899446206542343,-2.1651924529384563,0.06892802797892418-1.789498064268026E-7i,0.05483405846559358-1.423592758379126E-7i
-21.788840445081217,-1.3657466573487893,0.002364521669819058-6.138732058832537E-9i,0.037827792252939654-9.820788871671368E-8i
-20.854569896414294,-1.564616631472201,0.007980747929549059-2.0719485802940393E-8i,0.0493052739451002-1.280055368912303E-7i
-20.082644312760046,-1.32346058355632,0.021472344316411002-5.5746145241910557E-8i,0.05248829117173388-1.3626923357981225E-7i
-19.39664446699468,-1.2934336610849806,0.0336647701097539-8.73999194694074E-8i,0.05348113681790016-1.3884684302843403E-7i
-23.776840237350434,-0.07505259420363282,0.0026676628524194648-6.925742184271947E-9i,0.023130995283871653-6.005230745574081E-8i
-25,0.7547586736578875,-5.4296010754924705E-5+1.409624052697031E-10i,0.0195501045274387-5.07556580884472E-8i
-21.908640815627944,-0.37374935739248827,0.008599941135789824-2.2327024965836028E-8i,0.03133139034871439-8.134203751918648E-8i
-22.597458289922926,0.17874891732057144,0.007494516598191159-1.9457140060911623E-8i,0.025563295274478037-6.636700447020288E-8i
-16.896738089878063,-4.215163023197721,0.11507158613587791-2.9874694907182135E-7i,0.02206827314537006-5.729328581321944E-8i
-16.422631991564437,-5,0.10985452198320567-2.852024933894082E-7i,1.2591455722673248E-4-3.2689729131891814E-10i
-17.228212656172193,-2.5787079907764405,0.08248147532976416-2.1413704231567483E-7i,0.04472548749830696-1.161155710506317E-7i
