% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:48"
% Dimension,2
% Nodes,864
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1
-24.09076590264307,22.1249684310809,0.024803135960620892-6.439349142973078E-8i,0.04726865203551802-1.227180927676659E-7i
-24.47118336285307,21.92882165175441,0.015395849225485906-3.997044916937161E-8i,0.0560344198618463-1.4547563424533163E-7i
-24.010119121162585,21.737853804470355,0.03297355305783434-8.560539318935342E-8i,0.057328743924029424-1.4883593697225912E-7i
-23.585786437626712,21.414213562372904,0.05561672424212394-1.44391219784533E-7i,0.05453204506800355-1.4157519364921725E-7i
-23.478599668903612,21.898110751948487,0.04309198787837539-1.1187470634931901E-7i,0.04163405075406213-1.0808963409600178E-7i
-23.26214619552826,20.989880878834974,0.07883080536804865-2.0465923332946252E-7i,0.0440497109871445-1.1436113124713921E-7i
-22.922722784330265,21.35039352764558,0.06428638222176282-1.6689924246752687E-7i,0.03142884420825046-8.159504561777767E-8i
-23.071178348245418,20.528816637146306,0.0987336100470586-2.563305657190798E-7i,0.02618470670877432-6.798030256008544E-8i
-22.773260303896638,20.93984627182221,0.07649078830677321-1.9858411973012806E-7i,0.024273911920602836-6.301952872843306E-8i
-24.432685191187158,22.40610952137198,0.013886330546941106-3.6051461737932736E-8i,0.043019666516195744-1.116869468247383E-7i
-25,22,1.4283253236402338E-4-3.708194586117509E-10i,0.055361368131145894-1.437282684718262E-7i
-23,20,0.11334556047566531-2.942658697947654E-7i,-6.972826775214122E-4+1.810273756931819E-9i
-22.557549354453318,20.169428265222518,0.09117939058234555-2.3671842606339412E-7i,-5.45099839076274E-4+1.415179188303197E-9i
-23.071178348245784,19.471183362852344,0.11740350026088682-3.0480102596201025E-7i,-0.03217772748624811+8.353928400039604E-8i
