% Model,20260626_TI_field_CompactX_X30_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 17:12"
% Dimension,2
% Nodes,668
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
-14.680049698782625,-22.288664030523258,0.0015778260524275667-4.260178942194105E-9i,-0.00939017825979288+2.535377054038999E-8i,7.779852159275069E-4-2.100584046722602E-9i,-0.004651168761170429+1.2558298921786908E-8i
-14.471183362850324,-21.92882165175366,0.0030065056424698477-8.117657841909688E-9i,-0.010998058214671647+2.9695095944924124E-8i,0.0014863875956403205-4.0132922923611225E-9i,-0.0054392355914046064+1.4686103637670258E-8i
-15,-22,9.61996733594983E-6-2.5974208125512368E-11i,-0.01094164674695608+2.954278324450471E-8i,5.246018612903303E-6-1.4164411843964546E-11i,-0.005418197205556197+1.4629299347856861E-8i
-14.05809124149982,-22.163193388912592,0.0046561887106668365-1.257185294005567E-8i,-0.009036794493220951+2.4399623485613507E-8i,0.0022880343194351892-6.177763139158296E-9i,-0.004470763615306073+1.2071199471059273E-8i
-14.010119121162065,-21.737853804470056,0.006130364409172806-1.65521727339961E-8i,-0.010817365087556494+2.92072189359557E-8i,0.0030177003529746984-8.147883905098035E-9i,-0.005328383442593093+1.4386799421379157E-8i
-13.6646533243405,-22.095752190333098,0.006229814177137601-1.682069017077475E-8i,-0.008269080983327756+2.232677336157046E-8i,0.003046500710278082-8.225645756930155E-9i,-0.004093461738050641+1.1052472780707465E-8i
-13.585786437626599,-21.41421356237279,0.009439899575211005-2.5488019623539928E-8i,-0.009530762302778134+2.573335178675034E-8i,0.004604111988140459-1.2431244185144672E-8i,-0.004655549031796435+1.2570125787397053E-8i
-13.000000000000002,-20,0.006984011707832176-1.8857046734654733E-8i,-1.8600722707105168E-4+5.022252425408326E-10i,0.003002466043608728-8.106750800551732E-9i,-9.130934588556505E-5+2.4653804642791447E-10i
-12.599507054525743,-19.854369961539316,0.005307284453893585-1.4329831501995506E-8i,-0.0031567312935222185+8.523271727046158E-9i,0.0022088140289765698-5.963865914751184E-9i,-0.0016130941078494887+4.355403778179288E-9i
-13.071178348245631,-19.47118336285292,7.595739205877514E-4-2.050872982196167E-9i,-1.722322259478659E-5+4.650323151848059E-11i,-6.42003572378421E-5+1.7334294206315596E-10i,-1.2061653217565471E-4+3.256683521378136E-10i
