% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:47"
% Dimension,2
% Nodes,874
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
-24.179359351331815,-22.164301360056292,0.0236445272714784-6.138553071006931E-8i,-0.05089159617323156+1.3212392042805683E-7i
-24.010119121161605,-21.737853804469793,0.03513542667897518-9.12180137352609E-8i,-0.061486562785347365+1.5963039754528187E-7i
-24.47118336285124,-21.92882165175391,0.01654171230015759-4.2945319935551216E-8i,-0.060273920752545194+1.564821563522939E-7i
-23.641882004272556,-21.927120935532187,0.04171019697732723-1.0828732366169323E-7i,-0.04822506949357567+1.2520112795672678E-7i
-23.585786437626492,-21.414213562372687,0.058755948251156154-1.5254122124576756E-7i,-0.05848308436237201+1.5183281652985654E-7i
-25,-22,1.491132743828335E-4-3.871254171826017E-10i,-0.05954682506424769+1.5459448254978565E-7i
-24.496614197449766,-22.447431882794444,0.012987757039427478-3.371860005676935E-8i,-0.04567310236722966+1.1857575310331731E-7i
-23.112371583025393,-21.529810526446393,0.06140678236011835-1.5942327292454667E-7i,-0.03962961059384488+1.0288573969803062E-7i
-23.262146195529965,-20.989880878837976,0.08338000227389669-2.1646978310973845E-7i,-0.0469704489366235+1.2194390281350046E-7i
-23.071178348245425,-20.528816637146335,0.10289250695502088-2.671278250989088E-7i,-0.02757477404450359+7.158917239057901E-8i
-22.724953183537995,-20.91301854625844,0.0804718359254883-2.089196497261863E-7i,-0.02445428841473483+6.348781919977343E-8i
-23.071178348245958,-19.471183362851708,0.11836893727557984-3.073074775748264E-7i,0.03168155468819134-8.225112838692084E-8i
-22.782570774284068,-19.20199547512917,0.09895599657224172-2.569079219383329E-7i,0.03796395879114267-9.856140203150463E-8i
-23.26214619552875,-19.010119121164173,0.11005469004507784-2.8572216640157283E-7i,0.06217332181269669-1.6141334997563498E-7i
-22.53338947463269,-20.41927948043832,0.08885820740736945-2.306922086881974E-7i,-0.008711498881878024+2.261664934149184E-8i
-23,-20,0.11596391975931586-3.0106361086906924E-7i,-2.5293763189522994E-4+6.566724972797077E-10i
-22.586951276490606,-19.898273820614737,0.09750040011018218-2.53128926473645E-7i,0.008136938627525162-2.112498551022044E-8i
-23.043498716147365,-18.64336481096757,0.08798234192181575-2.2841830119815474E-7i,0.06254993888665661-1.623911169952147E-7i
-23.585786437627657,-18.585786437626155,0.09141481657571415-2.373296351342927E-7i,0.0909464044537018-2.3611355132890245E-7i
-23.431033073740714,-18.087821839124643,0.0663356873915939-1.7221961466158654E-7i,0.08188190174738104-2.1258043929579298E-7i
-24.010119121163264,-18.26214619552926,0.06460100171814331-1.6771605240140203E-7i,0.11342603476747778-2.944747958204283E-7i
-24.090372268420513,-17.79906329138674,0.04180714622705976-1.0853902170068756E-7i,0.10204774626417105-2.649346713625263E-7i
-24.471183362852003,-18.07117834824588,0.03460186003176554-8.983277682895909E-8i,0.1261604978080422-3.275357981858912E-7i
-24.45488156457564,-17.52418329503015,0.022571453016251037-5.859963307327188E-8i,0.10132054446281065-2.630467220710397E-7i
-25,-18.000000000000004,0.0012542576870773203-3.2562830664509593E-9i,0.13193161046444057-3.4251866543178886E-7i
-24.999999999999996,-22.71582426406594,2.0028298125381502E-4-5.199713639935883E-10i,-0.04022599687003043+1.0443406788625658E-7i
-23.830979241686688,-22.221685166398117,0.031806168506914416-8.257464872242632E-8i,-0.044624832372291756+1.1585425187691647E-7i
-24.056027332062392,-22.483496982017517,0.02345709609394645-6.089892498635151E-8i,-0.04147213950901605+1.0766928279904955E-7i
-23.29720780528467,-21.86129180278156,0.04964442092442093-1.2888602467070482E-7i,-0.04099489568505773+1.0643027027511375E-7i
-23.4425823523389,-22.324863413737233,0.03794586938820934-9.851443862271263E-8i,-0.03653903680255662+9.486204312761362E-8i
-23.09085191917224,-22.248843553325095,0.044323423034204265-1.1507173793756171E-7i,-0.03158802949263535+8.200831982074657E-8i
-25,-23.683507434719246,-5.494577771147924E-5+1.426493195007842E-10i,-0.020827244768090985+5.407134846208847E-8i
-24.207733059290202,-23.086478010411316,0.01602390837283017-4.1601005941953406E-8i,-0.030026576878948934+7.795450236570964E-8i
-23.64552972722117,-22.701001912829128,0.029358345745963712-7.621965174829067E-8i,-0.03264529380160738+8.475317193652481E-8i
-22.901775269507294,-21.979113889383896,0.05144024456176283-1.3354831230176805E-7i,-0.030617724199500557+7.948922926395626E-8i
-22.817742417005938,-21.290501256889698,0.06933071858874437-1.7999526512901826E-7i,-0.030717651085691224+7.974865779347402E-8i
-22.662710094874342,-21.699175872306526,0.058727426626793505-1.5246717387621909E-7i,-0.026894947693991738+6.982421846116771E-8i
-23.106557540550902,-22.699960422947505,0.03758344231529117-9.757351144921591E-8i,-0.026393037949137638+6.852116868132063E-8i
-22.792662752772266,-22.386713482141413,0.04503098319664014-1.1690869393086949E-7i,-0.025245666318526892+6.554238142713452E-8i
-25,-25,-1.0632678719851851E-4+2.760438466759683E-10i,-1.839247572374969E-4+4.775024133122208E-10i
-23.92211169720568,-24.10918137434128,0.016807645567924356-4.363573148777E-8i,-0.012352696801896398+3.206986716961747E-8i
-23.22929883739795,-23.389527481463066,0.02940558562199587-7.634229513328146E-8i,-0.01894387844994645+4.918178397077071E-8i
-23.588087000878165,-24.999999999999996,0.02013100001136518-5.226376933796609E-8i,-2.5308357899482087E-4+6.570514027355826E-10i
-22.457319636903243,-22.149068820569973,0.05095466321066668-1.3228765402774003E-7i,-0.021631920670579077+5.6160434733790744E-8i
-22.460292427780878,-21.310782865512074,0.06715729196019617-1.7435265085632027E-7i,-0.02146424922577154+5.5725128901453516E-8i
-22.315765778745686,-21.72088290432813,0.05842337543187923-1.5167780119185382E-7i,-0.019884602812116993+5.162407700376402E-8i
