% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jun 30 2026, 17:05"
% Table,Table 5 - Point Evaluation 4
% Time (s),"withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 11","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 12","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 14","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 15","withsol('sol1', ec.normE, setval(t,t)) (V/m), Point: 16","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 11","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 12","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 14","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 15","withsol('sol3', ec.normE, setval(t,t)) (V/m), Point: 16","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 11","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 12","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 14","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 15","withsol('sol5', ec.normE, setval(t,t)) (V/m), Point: 16","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 11","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 12","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 14","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 15","withsol('sol1', ec.normJ, setval(t,t)) (A/m^2), Point: 16","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 11","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 12","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 14","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 15","withsol('sol3', ec.normJ, setval(t,t)) (A/m^2), Point: 16","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 11","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 12","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 14","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 15","withsol('sol5', ec.normJ, setval(t,t)) (A/m^2), Point: 16"
0,9111.363036529774,6357.4967777343045,2909.4641697044494,1286.0155728367183,1035.8324320720635,1035.658255213189,1283.8814058661803,2909.326516994808,6350.452441740143,9106.484482442567,9606.000620967492,6388.410579208472,4476.024600755274,3645.0928598586206,5836.315340323322,0.050009889703514276,0.03489463775839539,0.015969288199788746,0.007058603273375983,0.005685413419656309,0.005683512669806951,0.007045718218378829,0.01596587874109261,0.03485018028867728,0.049974805562389556,0.052724371727959386,0.0350642532849949,0.024566299823147474,0.020004043084899493,0.03202955193436249
4.8076923076923084E-5,8739.935878859282,6098.331716635736,2790.8590825660203,1233.5908031262231,993.6064451889897,990.0195086067598,1227.304115181661,2781.1201177930247,6070.604636379807,8705.185563926263,9212.764718371987,6127.760378482177,4288.385298712559,3485.9365131735094,5582.262033187183,0.047967040336326566,0.03346922992235326,0.015316960220527382,0.0067702670399682596,0.005453170491799403,0.00543249956347159,0.006734543119613973,0.015260743545482805,0.033311017359195436,0.04776766151054988,0.05056157428475383,0.03363067741934007,0.02353428366191255,0.019128684468780542,0.030632258839291875
9.615384615384617E-5,7577.035274457547,5286.912303791767,2419.5186335169064,1069.4541881185717,861.401180566551,847.4707546263877,1050.5897465725636,2380.6783042584066,5196.523752821036,7451.7624298185765,7981.747946674778,5311.719802609263,3701.4223348412206,2988.723021967276,4788.460685189028,0.04135244195018927,0.028853862522626606,0.013204769440257369,0.005836655186447727,0.004701184701526017,0.004621709963094649,0.005729426145212626,0.012983108358193435,0.028339415219654312,0.040638434396110715,0.043559544656427425,0.02898902880727334,0.020195673935539005,0.016300630190826487,0.02611724628737571
1.4423076923076924E-4,5727.9714867325665,3996.719275025802,1829.0707700836417,808.4696552172862,651.1889178549718,621.9656585072325,771.0363336797632,1747.1991111418731,3813.770918026157,5468.908869598474,6024.933690279641,4014.281755891457,2769.870290749551,2201.8489952412347,3531.7356900092686,0.030993038085531485,0.021625539337087815,0.009896777623568758,0.0043744859542656726,0.00352346777191586,0.003358515190183195,0.004163473020458622,0.009434596066169015,0.020593753666097,0.029531234178358567,0.032596564732441706,0.021720139036926725,0.014976944732240588,0.011892839415705316,0.01907737841334273
1.9230769230769233E-4,3360.192527841571,2344.5902750963087,1072.9854275225066,474.27151143125013,382.0061152639748,335.57823024383066,416.00851232035615,942.6918955747573,2057.6996136704374,2950.720405093395,3520.3303836079526,2353.1374364187905,1580.5887555105678,1202.2551402079168,1933.7327081826588,0.0178269584033127,0.0124388447866116,0.005692550776574514,0.0025161708551242174,0.002026671707110897,0.0017665655503053153,0.0021899701478398153,0.00496255977649193,0.01083223201858333,0.01553331100302138,0.018669922488807594,0.012483404982513012,0.008364698346429486,0.006336555519841035,0.010194101496235248
2.4038461538461543E-4,688.1203569003247,480.1392430691002,219.73238414701973,97.12416149063992,78.22950089779604,16.342066693147967,20.258879273299783,45.9074291481286,100.2063342924034,143.69486845982865,695.8805185893788,480.15904267350146,244.45176904724727,110.78384995304172,150.8872524326913,0.0030465002625135163,0.0021257100089903808,9.728163965414857E-4,4.2999568390984094E-4,3.4634376476665987E-4,1.6921659776096731E-6,2.097738731256753E-6,4.753559704699545E-6,1.0376028492252849E-5,1.487911976683348E-5,0.0030473025366677116,0.002125699527751431,9.753760056102852E-4,4.299939053183873E-4,3.5341932155352567E-4
2.884615384615385E-4,2046.266801037477,1427.7923667209297,653.419243136844,288.81858419673347,232.63144149662452,304.49377220733425,377.4738340289396,855.3707762993839,1867.0958392647487,2677.396523079603,2192.003963815869,1440.2651796493512,1114.003506985747,1044.1291458554142,1650.2146287262053,0.012009843662421879,0.008379925383153217,0.003835014550454899,0.0016951191512495592,0.0013653484686951783,0.0017633468593459998,0.0021859800116601244,0.0049535179686264145,0.010812495639561642,0.0155050092353994,0.012853719537624526,0.008451055554206183,0.006502293454819777,0.006052760370517886,0.0095730552446141
3.365384615384616E-4,4595.347583688665,3206.4255741692814,1467.3983561489542,648.6064194267935,522.4256837033738,595.5236391513039,738.2567784415888,1672.9193304440755,3651.6336632530233,5236.405688421521,4880.049944994506,3227.2058077597285,2368.201071896682,2066.277393946598,3288.9773621227273,0.025978596958552674,0.018126689255152352,0.008295553225907864,0.0036667269337422592,0.0029533971110042075,0.0033557772081168297,0.0041600788078919645,0.00942690464499927,0.020576964899328348,0.029507159256853127,0.02758285492554355,0.018243342085320094,0.013371578800344026,0.011647119916189079,0.018542101612058305
3.8461538461538467E-4,6728.281652976912,4694.690438411199,2148.492417054641,949.6575813595744,764.9099613665854,828.259503037967,1026.7740056429202,2326.710884610545,5078.724141854304,7282.838980796989,7124.092326194442,4721.889878199294,3401.3367386224018,2888.775209307641,4609.376358540309,0.03759477353546949,0.026231931562067247,0.012004860977558108,0.005306282279615713,0.004273991229228373,0.004619720702682531,0.005726960105433807,0.01297752021361281,0.02832721746660406,0.04062094294177864,0.03980242749656709,0.026383319132242435,0.01899275647208979,0.016115551781123144,0.02571633642977896
4.3269230769230776E-4,8251.914195998665,5757.812272529367,2635.0227280459394,1164.7093984972623,938.1253185304855,979.9195559439817,1214.7834392167763,2752.7477662433685,6008.673715899087,8616.377251209135,8720.076345994317,5788.641561822653,4117.271524157282,3431.217597517115,5483.7425562953995,0.045806432573399246,0.031961655607107065,0.014627029323709951,0.006465309898125107,0.005207540108633521,0.005431453747382849,0.006733246645778515,0.015257805684017831,0.0333046046209191,0.047758465708811246,0.04840131255068797,0.03213223094394896,0.02284277083979182,0.019021600475228332,0.030402132239999442
