% Model,20260626_TI_field_CompactY_X50_Y30_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 18:05"
% Dimension,2
% Nodes,1797
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
22.118045420922776,14.068310439985032,0.04734501790975065-1.27833006691071E-7i,-0.02557555344313136+6.905478208195135E-8i,-0.0035739061811776+9.649656773650297E-9i,0.0018317063552048206-4.945663579789788E-9i
21.92882165175391,14.471183362851226,0.05625904030549065-1.5190114173184135E-7i,-0.01546037488924834+4.174348841583969E-8i,-0.0042501927716598565+1.14756513991246E-8i,0.0011683675985971753-3.1546285046074335E-9i
21.73785380447212,14.010119121165692,0.057576801137736805-1.5545913656894042E-7i,-0.03319657593887482+8.963177756536138E-8i,-0.0041930583154921736+1.1321386607607143E-8i,0.002410839638992579-6.509341284650254E-9i
22.41228839338116,14.431238989493224,0.043027829298666755-1.1617646446186112E-7i,-0.013945733152095649+3.765390907110559E-8i,-0.0033014100317122694+8.913908776594496E-9i,0.001015919279346374-2.7430133468689463E-9i
22,15,0.05556501203906128-1.500272440348376E-7i,-1.4895444783880052E-4+4.021815973109062E-10i,-0.004245563544093278+1.1463152342097731E-8i,1.5436445738425952E-5-4.1678878973492206E-11i
21.41421356237506,13.585786437628867,0.05480574200360633-1.4797719155184044E-7i,-0.055700754046834056+1.5039375163697085E-7i,-0.003681525309331274+9.940231734581369E-9i,0.0037348507026095934-1.0084211938979033E-8i
21.854584597638674,13.428867939377492,0.041461404594093566-1.1194706951005229E-7i,-0.045165426450782+1.219480426154422E-7i,-0.003115352214828985+8.411546940006305E-9i,0.002987377750678292-8.066011944897891E-9i
20.98988087884051,13.262146195531413,0.04449409797576598-1.201354350544629E-7i,-0.07917911900005237+2.1378606019793629E-7i,-0.0025795719690206256+6.964923773067652E-9i,0.0045234300140806205-1.22134003700026E-8i
21.28771724286125,13.047683502745368,0.0357523637706388-9.653248343523699E-8i,-0.06653608480009594+1.7964947842370696E-7i,-0.0025962571021271143+7.00997414638473E-9i,0.003847939824111135-1.0389556050437081E-8i
20.52881663715048,13.071178348246562,0.02616500614828604-7.064632254234907E-8i,-0.09894260067692454+2.671480694858867E-7i,-0.0012113263997558799+3.270618590959979E-9i,0.004334570156173556-1.170347293633039E-8i
21.00046300518465,12.758095699790829,0.024613393019833636-6.64569193023029E-8i,-0.07462350789075499+2.0148576987959656E-7i,-0.0021350841074897118+5.764792855689398E-9i,0.003784934175998954-1.0219438859816914E-8i
19.471183362854422,13.07117834824522,-0.03228383940396514+8.716736080673447E-8i,-0.11733072355096995+3.1679656764200107E-7i,2.3450632164856433E-5-6.33174291773662E-11i,4.776361087841796E-4-1.2896322060067816E-9i
19.010119121160535,13.262146195530818,-0.06389376672751279+1.725151382383031E-7i,-0.11163620597561569+3.0142119478440354E-7i,-0.0012481162302026838+3.369952266375551E-9i,-0.0019130137616602538+5.165196081677299E-9i
19.082378856168052,12.689132166377192,-0.041923136617182576+1.131937601947829E-7i,-0.0925224396601389+2.4981343698490604E-7i,-0.002028297475172238+5.476465659155419E-9i,2.860495343940626E-4-7.72342553862318E-10i
19.543810872715326,12.478860573510936,-0.023235923760622525+6.273770987321047E-8i,-0.09143818529441473+2.46885916799955E-7i,-0.0016483992579320952+4.450728770873306E-9i,0.0015808844922903203-4.268436824043709E-9i
20,13.000000000000002,-8.448603008899269E-4+2.2811488360235392E-9i,-0.11354040591495278+3.065625932743176E-7i,-5.164547340585912E-5+1.3944436899071644E-10i,0.002855039825027698-7.708695469331325E-9i
20.16093933013267,12.512570368188417,-0.0015198422811934786+4.10362097383604E-9i,-0.0898941250932751+2.4271690669629474E-7i,-0.0014156732342838717+3.822361338538207E-9i,0.0028684285606264126-7.744845467853413E-9i
18.585786437625757,13.585786437628055,-0.09534094057928488+2.574234762828875E-7i,-0.09436069742642433+2.547767895764337E-7i,-0.0038340925721231933+1.0352168043537877E-8i,-0.0036201547483288715+9.774529329517606E-9i
18.433677600985366,13.05057741305399,-0.06960937510917642+1.8794745692258558E-7i,-0.08062541313544458+2.176910989126308E-7i,-0.003711775163091254+1.0021907271503774E-8i,-0.0012915658944032311+3.487267698056112E-9i
17.726275267813655,14.698587860018796,-0.12296670494048911+3.32013890994802E-7i,-0.01592914786090427+4.3009189878591736E-8i,-0.008798785016312594+2.375699056671484E-8i,-8.726563532778231E-4+2.3561990336472244E-9i
18.07117834824532,14.471183362854061,-0.13485805303752296+3.641208971374626E-7i,-0.036331021009415904+9.809487580388128E-8i,-0.009018903613902784+2.435131756035564E-8i,-0.0023765651615751393+6.416799139885542E-9i
18.000000000000004,15,-0.14080433949899795+3.801760537426692E-7i,-6.717834230745012E-4+1.8138359347627197E-9i,-0.009974303782782079+2.693092744485214E-8i,-9.430929410902955E-5+2.5463799904053175E-10i
21.737853804470056,-14.010119121162065,-0.007968716674922716+2.1515780476993358E-8i,-0.00451757652225912+1.2197595761792026E-8i,0.053725434752680046-1.450603286983348E-7i,0.03061135870670406-8.265161140787642E-8i
21.980156788167605,-13.670587145934814,-0.0063248256450115555+1.7077224060619438E-8i,-0.004892204635273474+1.3209103206312613E-8i,0.04136629015743665-1.1169025760132691E-7i,0.03506603542759089-9.467937576853247E-8i
21.41421356237279,-13.585786437626599,-0.0070883399882153975+1.9138736305258887E-8i,-0.007034493317383945+1.89933486354126E-8i,0.051413941143334196-1.388192247538569E-7i,0.05161862004642637-1.3937186409678767E-7i
22.14999711562133,-14.207113773652404,-0.006889188392578682+1.8601020862710864E-8i,-0.0029503727512379617+7.966097306590217E-9i,0.04479656707729936-1.209521109453333E-7i,0.02007253110475843-5.419645226264282E-8i
21.92882165175366,-14.471183362850324,-0.008030752778755312+2.168327986819425E-8i,-0.002198770242810899+5.936747382740607E-9i,0.05236277322236008-1.4138110059340074E-7i,0.014358372506211933-3.876804803743937E-8i
18.262146195528086,14.010119121165335,-0.11986306181141633+3.2363395894700036E-7i,-0.06763535619225765+1.8261754504261398E-7i,-0.006807399907060807+1.8380189432526926E-8i,-0.0037478788823903284+1.0119388425682981E-8i
17.931734778491524,13.627267296181241,-0.09414028233343903+2.541816620360728E-7i,-0.05938930370320724+1.60352949324929E-7i,-0.005936707553494218+1.6029293258583977E-8i,-0.001983864041413171+5.35649401936405E-9i
17.63844182860315,14.013889056721503,-0.10178473654587929+2.748219238763358E-7i,-0.04052607731006567+1.094216570329469E-7i,-0.007104883140091352+1.918340332487931E-8i,-0.0015442395284319492+4.169494292865399E-9i
20.956262844007973,-12.828885876759482,-0.0040144943834847565+1.0839258491014526E-8i,-0.007639232341223207+2.0626162627123727E-8i,0.024508226136685664-6.617296547841121E-8i,0.07314927675084032-1.9750530039212554E-7i
20.5288166371499,-13.071178348246406,-0.002421235094718338+6.537409335306756E-9i,-0.00859318394434655+2.3201861339430583E-8i,0.025134305793274303-6.786339983590454E-8i,0.09433046160084319-2.546951519160502E-7i
20.98988087883644,-13.262146195529098,-0.005051064300625963+1.3638029196007612E-8i,-0.008784763107719903+2.3719130981603028E-8i,0.04214040157747989-1.1378038227985869E-7i,0.07468137351492186-2.016420088472631E-7i
21.562445597512383,-13.127961264127954,-0.005360679081343707+1.4473998640796176E-8i,-0.006720903680341987+1.8146646956108278E-8i,0.034640227235926524-9.35296805351475E-8i,0.0535660546750158-1.4462999757943264E-7i
22,-15,-0.008011550142345558+2.163143215840323E-8i,-2.376841286360048E-5+6.417544685283117E-11i,0.05168657240757135-1.3955533756493496E-7i,1.079461292591323E-4-2.914578739835099E-10i
22.413405013559004,-14.489998709046318,-0.006281358867871882+1.695986242346843E-8i,-0.0017247234532007845+4.656806449056067E-9i,0.04035444473402309-1.0895824379096315E-7i,0.01162905124311149-3.13987965577622E-8i
20,-13.000000000000002,-1.4309961682104112E-4+3.86373373217311E-10i,-0.006122932431632884+1.653210616571194E-8i,-1.5909045801769037E-4+4.2954913700056775E-10i,0.10981873209406579-2.965139593218712E-7i
20.30047367450243,-12.536500785671159,-0.002774605609485198+7.491520609801549E-9i,-0.00635097188048576+1.714781970175389E-8i,0.0023035737795537212-6.219720160134192E-9i,0.08492015262333859-2.2928702781776965E-7i
19.861449948644733,-12.583412593866852,-0.002257208336949997+6.094532036936992E-9i,-0.004859788050892146+1.3121577429984633E-8i,-0.011963696381365555+3.2302348738865204E-8i,0.09275535172984552-2.504423067473686E-7i
19.47118336285292,-13.071178348245631,2.4715648101697463E-4-6.673301117321372E-10i,-0.0016051446112873083+4.333939892592687E-9i,-0.03157159541147936+8.524428008828026E-8i,0.1167778559293528-3.153038080340516E-7i
19.172010602288736,-12.782625292595144,-0.002955686891426196+7.980445648753048E-9i,-0.0010161389704834213+2.7436065197097796E-9i,-0.042084058826874535+1.1362825511772216E-7i,0.09723098821518408-2.625266631175998E-7i
19.010119121164358,-13.262146195528643,-0.0020751444821158205+5.602954020900663E-9i,0.0032462222009551067-8.76489993363896E-9i,-0.0644736559836735+1.740808570918483E-7i,0.11317941312996671-3.055879016354449E-7i
