% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 19:57"
% Dimension,2
% Nodes,2200
% Expressions,2
% Description,Arrow surface
% x,y,ec.Jx,ec.Jy
-24.51,-24.5,-0.01282871899021367,0.012016136784805068
-23.37,-24.5,-0.0372717212594652,0.008734169798968334
-22.23,-24.5,-0.0526801686547538,0.004506075372773161
-21.09,-24.5,-0.05856718472779632,0.0013364587977353225
-19.95,-24.5,-0.05891587854411388,-5.000714343494405E-4
-18.810000000000002,-24.5,-0.05712875613882199,-0.0012270260276227116
-17.67,-24.5,-0.05351777915685059,-0.0017628736563639622
-16.530000000000005,-24.5,-0.049849905777727924,-0.0016656385805335894
-15.389999999999999,-24.5,-0.0459847933035696,-0.0016656155664736927
-14.250000000000002,-24.5,-0.04223840236359538,-0.0017213877544235952
-13.110000000000001,-24.5,-0.038865620211570015,-0.0014514709683099108
-11.97,-24.5,-0.03549283805954469,-0.001181554182196268
-10.830000000000004,-24.5,-0.03270061517242076,-0.0013468743576526482
-9.690000000000001,-24.5,-0.030179538375831424,-0.0011340352679892398
-8.55,-24.5,-0.027658461579242104,-9.211961783258527E-4
-7.41,-24.5,-0.025708722701174844,-8.288751001556397E-4
-6.270000000000003,-24.5,-0.02354203763416997,-8.812154765646943E-4
-5.129999999999999,-24.5,-0.021683103095613256,-7.346782041388949E-4
-3.9900000000000024,-24.5,-0.020088337216752745,-7.202601317326526E-4
-2.849999999999998,-24.5,-0.018423186088334858,-6.90651288977383E-4
-1.7100000000000009,-24.5,-0.01702002994675818,-5.949513585797695E-4
-0.5700000000000038,-24.5,-0.01561687380518151,-4.992514281821506E-4
0.5700000000000003,-24.5,-0.014405756735228769,-5.683248899039288E-4
1.7099999999999973,-24.5,-0.013319878408082988,-4.96265315011577E-4
2.8500000000000014,-24.5,-0.012234000080937203,-4.242057401192264E-4
3.989999999999999,-24.5,-0.011326433999046521,-4.0125854488605185E-4
5.130000000000003,-24.5,-0.010339453025511943,-4.120725410650591E-4
6.269999999999996,-24.5,-0.009478741299266624,-3.592937984898735E-4
7.410000000000005,-24.5,-0.0086180295730213,-3.0651505591469127E-4
8.549999999999997,-24.5,-0.00789502745869782,-3.4444874742432075E-4
9.689999999999998,-24.5,-0.00719609349248147,-3.072670532537593E-4
10.83,-24.5,-0.006497159526265128,-2.7008535908318093E-4
11.969999999999999,-24.5,-0.005855927717134566,-2.8709991517351105E-4
13.11,-24.5,-0.0052683640641894465,-2.6290117979156804E-4
14.250000000000007,-24.5,-0.004680800411244328,-2.3870244440961456E-4
15.389999999999993,-24.5,-0.004146974067178443,-2.291818504806802E-4
16.530000000000005,-24.5,-0.0036078219820623995,-2.2640622331041374E-4
17.67,-24.5,-0.0031059483425340804,-2.1827751808112394E-4
18.809999999999995,-24.5,-0.002615554704024784,-2.0928580968266082E-4
19.949999999999996,-24.5,-0.0021488014795254806,-2.0174015872684295E-4
21.090000000000003,-24.5,-0.0016890019318818426,-1.9939216605383063E-4
22.230000000000004,-24.5,-0.00123407313315525,-2.0320512676740452E-4
23.369999999999997,-24.5,-7.556880495421561E-4,-2.179164910396929E-4
24.509999999999998,-24.5,-2.34237011743525E-4,-2.3321352750869495E-4
-24.51,-23.5,-0.01679092218755034,0.0404608741333224
-23.37,-23.5,-0.04598268731724857,0.02710875484109065
-22.23,-23.5,-0.059800871836204986,0.013631809013761521
-21.09,-23.5,-0.06310306370414846,0.004760000690285732
-19.95,-23.5,-0.06124677443432238,-0.0017013550057091969
-18.810000000000002,-23.5,-0.05776289593222837,-0.004228941138164993
-17.67,-23.5,-0.05397571711976479,-0.005056154257571462
-16.530000000000005,-23.5,-0.049849885589956185,-0.005269225907791395
-15.389999999999999,-23.5,-0.04593254432104994,-0.005084530957884064
-14.250000000000002,-23.5,-0.041945608764646716,-0.004659771289252799
-13.110000000000001,-23.5,-0.038628851100944,-0.004332054455389103
-11.97,-23.5,-0.03539245694544286,-0.0040131988020526855
-10.830000000000004,-23.5,-0.032666107648208834,-0.003503301562513522
-9.690000000000001,-23.5,-0.02999283741998634,-0.0032710692905443648
-8.55,-23.5,-0.027470402976336107,-0.0030567204725635475
-7.41,-23.5,-0.025418750755201374,-0.0027261524541537757
-6.270000000000003,-23.5,-0.02341349616712977,-0.00249105248641444
-5.129999999999999,-23.5,-0.021554561628573082,-0.0023445152139886247
-3.9900000000000024,-23.5,-0.019896714638616555,-0.002132879143610488
-2.849999999999998,-23.5,-0.01833923878096853,-0.0019315661243891767
-1.7100000000000009,-23.5,-0.016936082639391843,-0.0018358661939915566
-0.5700000000000038,-23.5,-0.015594785435023536,-0.0016998427616230906
0.5700000000000003,-23.5,-0.014381819671844853,-0.00152221343559607
1.7099999999999973,-23.5,-0.013256668254668645,-0.0014284958157850503
2.8500000000000014,-23.5,-0.012170789927522855,-0.0013564362408927
3.989999999999999,-23.5,-0.01122034952083055,-0.0012456472270542275
5.130000000000003,-23.5,-0.01029315588290214,-0.0011530804519655307
6.269999999999996,-23.5,-0.009432444156656821,-0.001100301709390339
7.410000000000005,-23.5,-0.0086271817387868,-0.00103326779082683
8.549999999999997,-23.5,-0.007877706365312855,-9.507851788793753E-4
9.689999999999998,-23.5,-0.007163477971279191,-9.113348476334974E-4
10.83,-23.5,-0.00647406288414847,-8.696529087978688E-4
11.969999999999999,-23.5,-0.0058522680966448136,-8.152367380073031E-4
13.11,-23.5,-0.005247137103328079,-7.767827833943635E-4
14.250000000000007,-23.5,-0.00465808499439841,-7.447179502128746E-4
15.389999999999993,-23.5,-0.004116914553004914,-7.104501040550405E-4
16.530000000000005,-23.5,-0.0035948849524252684,-6.791914014400457E-4
17.67,-23.5,-0.0030864447424949343,-6.524536234954643E-4
18.809999999999995,-23.5,-0.002607884731833996,-6.264054520977137E-4
19.949999999999996,-23.5,-0.0021384879590701446,-6.084368356386959E-4
21.090000000000003,-23.5,-0.0016904490395346604,-5.948168966740678E-4
22.230000000000004,-23.5,-0.0012384905588070567,-5.955977023763744E-4
23.369999999999997,-23.5,-7.92685785486945E-4,-6.507620190394204E-4
24.509999999999998,-23.5,-2.57843470252445E-4,-7.250630710082804E-4
-24.51,-22.5,-0.03163585105516496,0.08169626134128723
-23.37,-22.5,-0.06797062317972387,0.04346393017310828
-22.23,-22.5,-0.07295670693645621,0.016579241416514276
-21.09,-22.5,-0.07044050409191975,0.0010843122241680262
-19.95,-22.5,-0.06462515162344902,-0.005499988347441163
-18.810000000000002,-22.5,-0.05891183699216949,-0.008360469427130708
-17.67,-22.5,-0.05443196854606692,-0.00859472502862796
-16.530000000000005,-22.5,-0.0498379034559017,-0.00887148413650094
-15.389999999999999,-22.5,-0.04555994812049624,-0.008336916184790311
-14.250000000000002,-22.5,-0.041573012564092904,-0.007912156516159074
-13.110000000000001,-22.5,-0.038392081990318,-0.007212637942468246
-11.97,-22.5,-0.03494517866514532,-0.006608244138134742
-10.830000000000004,-22.5,-0.03221882936791134,-0.006098346898595581
-9.690000000000001,-22.5,-0.02980613646414128,-0.0054081033130995455
-8.55,-22.5,-0.027180431030362627,-0.004953997826561698
-7.41,-22.5,-0.025128778809227894,-0.004623429808151933
-6.270000000000003,-22.5,-0.023077126588093168,-0.004292861789742185
-5.129999999999999,-22.5,-0.02129189475839818,-0.0037639478945636
-3.9900000000000024,-22.5,-0.019705092060480333,-0.0035454981554883134
-2.849999999999998,-22.5,-0.018118289362562455,-0.003327048416413047
-1.7100000000000009,-22.5,-0.016757092199129246,-0.0029461557208314637
-0.5700000000000038,-22.5,-0.015437836790751088,-0.0027672342663608786
0.5700000000000003,-22.5,-0.01422713791957868,-0.002589604940333838
1.7099999999999973,-22.5,-0.013193458101254303,-0.002360726316558526
2.8500000000000014,-22.5,-0.01203979300550795,-0.0022109722143886157
3.989999999999999,-22.5,-0.011114265042614556,-0.002090035909222396
5.130000000000003,-22.5,-0.010188737079721174,-0.0019690996040561764
6.269999999999996,-22.5,-0.009304303943885789,-0.001793124224983346
7.410000000000005,-22.5,-0.00855482857041184,-0.0017106416130359056
8.549999999999997,-22.5,-0.0078053531969378975,-0.0016281590010884563
9.689999999999998,-22.5,-0.007130862450076927,-0.0015154026420132543
10.83,-22.5,-0.00642632940099886,-0.001430088878230708
11.969999999999999,-22.5,-0.005804534613495209,-0.0013756727074401467
13.11,-22.5,-0.005182739825991542,-0.0013212565366495373
14.250000000000007,-22.5,-0.00463187128398445,-0.0012526182913017722
15.389999999999993,-22.5,-0.004080110501570553,-0.0011817883870870358
16.530000000000005,-22.5,-0.003565066628848939,-0.0011236014552160507
17.67,-22.5,-0.0030559078391706055,-0.001084069305206276
18.809999999999995,-22.5,-0.002574076601450056,-0.001040044873088403
19.949999999999996,-22.5,-0.0021141606076791044,-0.0010008712330063425
21.090000000000003,-22.5,-0.0016797311276829997,-9.757717230817765E-4
22.230000000000004,-22.5,-0.0012768314717808036,-9.932393936656321E-4
23.369999999999997,-22.5,-9.042579387679835E-4,-0.0010449583864136631
24.509999999999998,-22.5,-3.5862037972075644E-4,-0.0012758585877545737
-24.51,-21.5,-0.12428604910565917,0.1441713456821971
-23.37,-21.5,-0.10897892858408423,0.043402754090499006
-22.23,-21.5,-0.09226991428588285,0.007100432494659299
-21.09,-21.5,-0.07816414547675123,-0.0058301882524496055
-19.95,-21.5,-0.06849147093928133,-0.010970818368231331
-18.810000000000002,-21.5,-0.060454729891653666,-0.013094847622161686
-17.67,-21.5,-0.05461997957804253,-0.013906354525184518
-16.530000000000005,-21.5,-0.04923107184576928,-0.013165825672477522
-15.389999999999999,-21.5,-0.04472518513769751,-0.01205955530011883
-14.250000000000002,-21.5,-0.041061136372537645,-0.010918238466159604
-13.110000000000001,-21.5,-0.03783580881485901,-0.010245400992143544
-11.97,-21.5,-0.03444990540873409,-0.009431107922517187
-10.830000000000004,-21.5,-0.03163860289825903,-0.008466450069992568
-9.690000000000001,-21.5,-0.028827300387783954,-0.007501792217467869
-8.55,-21.5,-0.026761638711519268,-0.0070425083235714815
-7.41,-21.5,-0.024678191570825833,-0.006381116203384678
-6.270000000000003,-21.5,-0.022594744430132423,-0.005719724083197861
-5.129999999999999,-21.5,-0.020983674157199372,-0.005360980628621438
-3.9900000000000024,-21.5,-0.019383130441942516,-0.004923099400115674
-2.849999999999998,-21.5,-0.017782586726685645,-0.004485218171609885
-1.7100000000000009,-21.5,-0.016579049015124313,-0.0041169414825117856
-0.5700000000000038,-21.5,-0.015214494381739177,-0.003871446930014419
0.5700000000000003,-21.5,-0.014038757799477313,-0.003584618807680982
1.7099999999999973,-21.5,-0.01293793147064694,-0.0033088895810607826
2.8500000000000014,-21.5,-0.0119046254823101,-0.003153483978837563
3.989999999999999,-21.5,-0.010974384393830739,-0.0029214001580813486
5.130000000000003,-21.5,-0.01004414330535137,-0.002689316337325125
6.269999999999996,-21.5,-0.009206261539978822,-0.0025726098085399685
7.410000000000005,-21.5,-0.008451903081694776,-0.0024068587909955893
8.549999999999997,-21.5,-0.0076975446234107195,-0.002241107773451188
9.689999999999998,-21.5,-0.007035185176918221,-0.002112391696322731
