x (mm),y (mm),Ex_f1 (V/m),Ey_f1 (V/m),|E_f1| (V/m),Ex_f2 (V/m),Ey_f2 (V/m),|E_f2| (V/m),AM_max (V/m)
-14.680049698782623,-22.288664030523258,-0.008008437138821933,0.04562617849379219,0.04632367892723815,0.0007998408365000598,-0.004739009498622451,0.004806033332361203,0.009612066664722406
-14.471183362850324,-21.92882165175366,-0.014881317198408489,0.05424845689158264,0.05625254373517298,0.0015201180468295272,-0.00555882262326704,0.005762921813910221,0.011525843627820442
-15.0,-22.0,-9.788617347239459e-07,0.05330484806742841,0.053304848076416056,4.373948723046528e-06,-0.005523449541399883,0.0055234512732365085,0.011046902546473017
-14.05809124149982,-22.163193388912592,-0.02441208529500805,0.04440099502996819,0.050669500373518674,0.0023681543912316473,-0.004566030877914878,0.005143616742991438,0.010287233485982875
-14.010119121162065,-21.737853804470056,-0.03166747060617411,0.05550661545527398,0.06390471855733786,0.0031126640561981076,-0.005488981644963401,0.00631011862214117,0.01262023724428234
-13.6646533243405,-22.095752190333094,-0.03415690855375786,0.04027115865861332,0.05280587677197476,0.0031833134668595186,-0.004175619245277115,0.005250645742174746,0.010501291484349492
-13.5857864376266,-21.41421356237279,-0.05340136158468242,0.05304882603388428,0.0752720622985136,0.004835787587070546,-0.004875213270981699,0.006866771149879806,0.013733542299759613
-13.000000000000002,-20.0,-0.1115973811334623,-6.489563142741844e-05,0.11159740000237563,0.003981545664223448,-9.469788118548663e-05,0.003982671661711214,0.007965343323422427
-12.599507054525745,-19.85436996153932,-0.09480183808292292,-0.011613202805871121,0.0955104967179578,0.003098470424917015,-0.0015436371856727298,0.0034616953556136413,0.0069233907112272825
-13.071178348245631,-19.47118336285292,-0.11741625199906966,-0.031698030391294124,0.1216196586255546,0.0008237742778255935,0.00010339330958086812,0.0008302374583654746,0.0016604749167309493
-13.032272203932331,-21.566487908851443,-0.05579090591820054,0.032936932231989215,0.06478785910977576,0.004582028489646117,-0.0035329210651162215,0.005785889415834925,0.01157177883166985
-13.262146195529098,-20.98988087883644,-0.07696538524886928,0.042992021683926684,0.08815885919734946,0.005965957947287603,-0.003409940944713294,0.006871706591177792,0.013743413182355583
-13.071178348246406,-20.5288166371499,-0.09662923780942696,0.02550329417275658,0.09993811892012451,0.005783706855252128,-0.0015903363208976302,0.005998369328497261,0.011996738656994521
-12.561047315142943,-20.32787020278885,-0.08677264573310575,0.004342565848298151,0.08688124035526819,0.004285081804411598,-0.0019312534909228705,0.004700177243115533,0.009400354486231065
-12.662033733827318,-20.83007062927437,-0.07664092143620607,0.01837147287386864,0.07881206667856136,0.004909546189088377,-0.0025121461650510772,0.005514936276818893,0.011029872553637786
-12.786263835143853,-19.173068786003377,-0.0978783520293877,-0.04150595631612705,0.10631517392030637,0.00043567360556074903,-0.0020763134918797108,0.0021215299213407338,0.0042430598426814676
-13.262146195528643,-19.01011912116436,-0.11265713402701472,-0.06416869391711377,0.12965049605076331,-0.0024363120524155124,-0.001533872052305374,0.0028789546522285806,0.005757909304457161
-13.585786437626096,-18.585786437627718,-0.09663864429356761,-0.09663559278544642,0.13666552368426102,-0.004769340400029409,-0.004909313169544739,0.006844557228047559,0.013689114456095119
-13.063907411686586,-18.48094327800561,-0.08338924640139674,-0.07096293674768703,0.10949659724050373,-0.001701923919415686,-0.00466055937804787,0.004961588328729944,0.009923176657459887
-13.43997688509126,-18.206021394730165,-0.07477890963368528,-0.09005909757001881,0.1170577907750229,-0.002911724638802756,-0.006413571955881473,0.007043581873271605,0.01408716374654321
-14.010119121161676,-18.262146195530168,-0.07052374834026653,-0.12356600620898917,0.14227493444173922,-0.0050877890963160755,-0.009024333496538368,0.010359739038476652,0.020719478076953304
-14.06931979268707,-17.819537545470553,-0.046086003019534444,-0.11273159012622722,0.12178805806278474,-0.0026806287889133973,-0.009704467621532376,0.01006789265543299,0.02013578531086598
-14.471183362853136,-18.07117834824557,-0.03825818910833667,-0.1394668804162424,0.1446191542185464,-0.003296875274995337,-0.012077595267870703,0.012519492562934345,0.02503898512586869
-14.466544654918234,-17.494810861738273,-0.023159109932917286,-0.11218504170718385,0.11455054760116833,-0.0013135239718343736,-0.010595868880951325,0.010676974410707194,0.02135394882141439
-15.0,-18.000000000000004,-0.0014593756976762906,-0.14653013102252127,0.14653739821255263,-0.0002105617205069854,-0.013432875508313577,0.013434525695386258,0.026869051390772516
13.585786437628869,-21.41421356237506,-0.0048757975343776405,-0.004832252668984731,0.006864697185830788,0.05377257502322501,0.05293894974124884,0.07545874518128984,0.013729394371661575
13.466737150275634,-21.90251821164732,-0.0037947008064505385,-0.004096829362449729,0.005584242565962426,0.04197174892163039,0.039987159410714956,0.05797068763848081,0.011168485131924852
14.010119121165692,-21.73785380447212,-0.003151061400868377,-0.005497577480472457,0.006336603672776171,0.032003704494011076,0.05560046519936053,0.06415332284243183,0.012673207345552343
14.085290645392831,-22.148217385311508,-0.0023252990930147095,-0.004633594886465275,0.005184324203196804,0.023915951709848948,0.04513502038919256,0.051079769104026444,0.010368648406393607
14.471183362851226,-21.92882165175391,-0.0015296657967450351,-0.005562042940860423,0.00576855260231775,0.014931164209970612,0.05427435478780889,0.05629072083654695,0.0115371052046355
13.057791420984312,-21.377445811311567,-0.004929376800570748,-0.0035046972712894087,0.006048277325436436,0.06170403267558626,0.03468288682262245,0.07078340403499012,0.012096554650872872
13.262146195531413,-20.98988087884051,-0.005976922489702288,-0.003384285983407731,0.00686855108923265,0.07722984476818964,0.04302290123181987,0.08840485819977088,0.0137371021784653
13.071178348246562,-20.52881663715048,-0.005766810547108495,-0.0015510962817214813,0.005971767205895754,0.09677905192652761,0.02527476362783035,0.1000249897187709,0.011943534411791508
12.657580932731465,-20.810367863768505,-0.004898856476865739,-0.0024732649632431456,0.0054877895695202746,0.07708682023743933,0.017697518603018297,0.07909222476971718,0.010975579139040549
14.434098847990487,-22.414793217282856,-0.0013231182638003085,-0.00431487406540144,0.004513178496389866,0.013387106251619948,0.04144279819665934,0.04355135056644274,0.009026356992779733
15.0,-22.0,-1.9908279142222263e-05,-0.005556364170536954,0.005556399835793426,0.00014146218462618432,0.05360276812813025,0.05360295479306878,0.011112799671586852
13.000000000000002,-20.0,-0.003923440978867969,-5.1623649408365974e-05,0.003923780589665875,0.11182259920132442,-0.0005023403312239287,0.11182372752662297,0.00784756117933175
12.639970654950153,-20.122349214134942,-0.003895075117098484,-0.0014816334037607128,0.004167355001794222,0.09337406609177362,-0.0014192919288188053,0.09338485213400576,0.008334710003588444
13.07117834824522,-19.471183362854426,-0.0007630039376023551,8.44521075923782e-05,0.0007676634466180431,0.1171501872816231,-0.03215690350184014,0.12148346728236739,0.0015353268932360863
12.585525639365857,-19.708446977456735,-0.0026135898989694904,-0.0016507215772176215,0.0030912350097472667,0.09476159347267997,-0.01779654896682322,0.09641823869273904,0.006182470019494533
12.829970010145292,-19.045022991713296,8.881372614097383e-05,-0.002434752335363566,0.002436371649094075,0.09643087854626867,-0.04769360997040517,0.10758064309723357,0.00487274329818815
